FIPS,year,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
18021,2010.0,0.142,0.279,0.132,0.447
18023,1970.0,0.06,0.061,0.472,0.408
18023,1980.0,0.093,0.098,0.347,0.461
18023,1990.0,0.11,0.189,0.238,0.462
18023,2e3,0.101,0.196,0.199,0.503
18023,2010.0,0.143,0.249,0.143,0.466
18025,1970.0,0.036,0.049,0.666,0.249
18025,1980.0,0.056,0.071,0.509,0.365
18025,1990.0,0.057,0.163,0.404,0.375
18025,2e3,0.084,0.17,0.294,0.452
18025,2010.0,0.107,0.236,0.177,0.481
18027,1970.0,0.051,0.057,0.51,0.382
18027,1980.0,0.071,0.091,0.418,0.419
18027,1990.0,0.076,0.167,0.338,0.419
18027,2e3,0.097,0.222,0.282,0.399
18027,2010.0,0.129,0.245,0.224,0.402
18029,1970.0,0.042,0.06,0.547,0.351
18029,1980.0,0.096,0.089,0.393,0.422
18029,1990.0,0.107,0.193,0.265,0.434
18029,2e3,0.154,0.254,0.18,0.412
18029,2010.0,0.182,0.315,0.104,0.4
18031,1970.0,0.055,0.064,0.519,0.361
18031,1980.0,0.081,0.081,0.384,0.454
18031,1990.0,0.097,0.151,0.277,0.475
18031,2e3,0.115,0.201,0.209,0.475
18031,2010.0,0.145,0.26,0.112,0.483
18033,1970.0,0.05,0.082,0.457,0.412
18033,1980.0,0.085,0.11,0.317,0.488
18033,1990.0,0.099,0.21,0.225,0.466
18033,2e3,0.124,0.264,0.153,0.459
18033,2010.0,0.17,0.306,0.112,0.412
18035,1970.0,0.098,0.08,0.48,0.343
18035,1980.0,0.149,0.108,0.336,0.407
18035,1990.0,0.165,0.207,0.255,0.373
18035,2e3,0.204,0.24,0.184,0.372
18035,2010.0,0.233,0.293,0.12,0.354
18037,1970.0,0.049,0.05,0.593,0.307
18037,1980.0,0.102,0.08,0.417,0.401
18037,1990.0,0.109,0.169,0.278,0.444
18037,2e3,0.145,0.213,0.198,0.444
18037,2010.0,0.179,0.281,0.134,0.406
18039,1970.0,0.086,0.086,0.468,0.36
18039,1980.0,0.123,0.122,0.344,0.411
18039,1990.0,0.142,0.195,0.272,0.391
18039,2e3,0.155,0.232,0.243,0.37
18039,2010.0,0.179,0.256,0.192,0.374
18041,1970.0,0.043,0.061,0.546,0.351
18041,1980.0,0.072,0.09,0.433,0.405
18041,1990.0,0.081,0.151,0.361,0.407
18041,2e3,0.078,0.194,0.263,0.465
18041,2010.0,0.101,0.266,0.199,0.434
18043,1970.0,0.056,0.067,0.571,0.306
18043,1980.0,0.106,0.114,0.374,0.406
18043,1990.0,0.151,0.229,0.268,0.351
18043,2e3,0.204,0.289,0.176,0.331
18043,2010.0,0.243,0.307,0.116,0.334
18045,1970.0,0.047,0.07,0.48,0.403
18045,1980.0,0.08,0.08,0.368,0.472
18045,1990.0,0.076,0.173,0.27,0.481
18045,2e3,0.101,0.231,0.193,0.475
18045,2010.0,0.125,0.285,0.132,0.457
18047,1970.0,0.048,0.036,0.648,0.268
18047,1980.0,0.078,0.065,0.464,0.393
18047,1990.0,0.082,0.148,0.347,0.423
18047,2e3,0.125,0.194,0.239,0.442
18047,2010.0,0.177,0.249,0.142,0.432
18049,1970.0,0.055,0.085,0.417,0.442
18049,1980.0,0.085,0.105,0.315,0.495
18049,1990.0,0.094,0.195,0.247,0.464
18049,2e3,0.103,0.207,0.198,0.492
18049,2010.0,0.125,0.29,0.151,0.434
18051,1970.0,0.063,0.067,0.5,0.37
18051,1980.0,0.09,0.11,0.379,0.421
18051,1990.0,0.091,0.217,0.272,0.42
18051,2e3,0.124,0.274,0.191,0.41
18051,2010.0,0.15,0.354,0.1,0.396
18053,1970.0,0.072,0.075,0.493,0.36
18053,1980.0,0.097,0.107,0.373,0.422
18053,1990.0,0.112,0.195,0.282,0.411
18053,2e3,0.141,0.232,0.208,0.419
18053,2010.0,0.172,0.271,0.145,0.412
18055,1970.0,0.049,0.055,0.536,0.361
18055,1980.0,0.073,0.084,0.413,0.43
18055,1990.0,0.099,0.184,0.284,0.434
18055,2e3,0.105,0.253,0.208,0.434
18055,2010.0,0.132,0.31,0.155,0.404
18057,1970.0,0.114,0.117,0.375,0.394
18057,1980.0,0.257,0.175,0.194,0.374
18057,1990.0,0.362,0.26,0.113,0.265
18057,2e3,0.489,0.256,0.058,0.198
18057,2010.0,0.556,0.245,0.038,0.161
18059,1970.0,0.066,0.081,0.42,0.433
18059,1980.0,0.113,0.136,0.265,0.486
18059,1990.0,0.149,0.238,0.199,0.414
18059,2e3,0.222,0.282,0.122,0.374
18059,2010.0,0.267,0.326,0.064,0.344
18061,1970.0,0.038,0.057,0.547,0.359
18061,1980.0,0.068,0.099,0.375,0.458
18061,1990.0,0.084,0.191,0.289,0.437
18061,2e3,0.131,0.262,0.197,0.41
18061,2010.0,0.155,0.299,0.115,0.431
18063,1970.0,0.083,0.1,0.358,0.459
18063,1980.0,0.144,0.143,0.236,0.477
18063,1990.0,0.182,0.261,0.159,0.398
18063,2e3,0.231,0.282,0.115,0.372
18063,2010.0,0.321,0.313,0.064,0.301
18065,1970.0,0.054,0.058,0.542,0.346
18065,1980.0,0.074,0.091,0.392,0.444
18065,1990.0,0.092,0.175,0.286,0.447
18065,2e3,0.117,0.235,0.204,0.444
18065,2010.0,0.15,0.264,0.137,0.449
18067,1970.0,0.082,0.095,0.432,0.392
18067,1980.0,0.11,0.119,0.315,0.456
18067,1990.0,0.143,0.245,0.215,0.396
18067,2e3,0.181,0.273,0.167,0.38
18067,2010.0,0.195,0.316,0.113,0.376
18069,1970.0,0.073,0.079,0.414,0.433
18069,1980.0,0.103,0.117,0.288,0.493
18069,1990.0,0.118,0.212,0.214,0.456
18069,2e3,0.142,0.241,0.15,0.467
18069,2010.0,0.18,0.287,0.111,0.422
18071,1970.0,0.053,0.062,0.523,0.362
18071,1980.0,0.074,0.084,0.402,0.44
18071,1990.0,0.087,0.168,0.307,0.438
18071,2e3,0.115,0.217,0.202,0.467
18071,2010.0,0.144,0.257,0.129,0.47
18073,1970.0,0.062,0.067,0.489,0.382
18073,1980.0,0.093,0.098,0.357,0.452
18073,1990.0,0.108,0.163,0.245,0.484
18073,2e3,0.13,0.23,0.176,0.464
18073,2010.0,0.153,0.284,0.121,0.442
18075,1970.0,0.044,0.05,0.527,0.379
18075,1980.0,0.069,0.078,0.4,0.453
18075,1990.0,0.082,0.159,0.311,0.448
18075,2e3,0.099,0.192,0.215,0.495
18075,2010.0,0.102,0.259,0.158,0.481
18077,1970.0,0.072,0.074,0.513,0.341
18077,1980.0,0.122,0.094,0.377,0.407
18077,1990.0,0.133,0.201,0.297,0.369
18077,2e3,0.164,0.245,0.19,0.402
18077,2010.0,0.172,0.287,0.15,0.391
18079,1970.0,0.042,0.05,0.559,0.349
18079,1980.0,0.068,0.081,0.418,0.432
18079,1990.0,0.065,0.139,0.359,0.437
18079,2e3,0.084,0.209,0.238,0.469
18079,2010.0,0.108,0.265,0.152,0.475
18081,1970.0,0.081,0.09,0.438,0.391
18081,1980.0,0.133,0.133,0.292,0.443
18081,1990.0,0.167,0.239,0.196,0.398
18081,2e3,0.231,0.264,0.143,0.362
18081,2010.0,0.273,0.303,0.083,0.342
18083,1970.0,0.062,0.092,0.485,0.361
18083,1980.0,0.099,0.13,0.375,0.396
18083,1990.0,0.111,0.251,0.255,0.383
18083,2e3,0.144,0.3,0.183,0.372
18083,2010.0,0.145,0.348,0.127,0.38
18085,1970.0,0.078,0.099,0.416,0.407
18085,1980.0,0.121,0.12,0.316,0.443
18085,1990.0,0.144,0.212,0.225,0.419
18085,2e3,0.149,0.247,0.184,0.421
18085,2010.0,0.214,0.265,0.149,0.372
18087,1970.0,0.047,0.057,0.567,0.329
18087,1980.0,0.069,0.087,0.474,0.37
18087,1990.0,0.073,0.151,0.433,0.343
18087,2e3,0.089,0.175,0.398,0.339
18087,2010.0,0.108,0.207,0.369,0.316
18089,1970.0,0.063,0.078,0.515,0.343
18089,1980.0,0.101,0.121,0.367,0.411
18089,1990.0,0.128,0.222,0.265,0.385
18089,2e3,0.162,0.272,0.193,0.373
18089,2010.0,0.2,0.312,0.13,0.358
18091,1970.0,0.065,0.076,0.512,0.346
18091,1980.0,0.106,0.111,0.363,0.42
18091,1990.0,0.117,0.212,0.261,0.41
18091,2e3,0.14,0.256,0.194,0.41
18091,2010.0,0.171,0.304,0.132,0.392
18093,1970.0,0.048,0.047,0.564,0.341
18093,1980.0,0.067,0.073,0.422,0.438
18093,1990.0,0.094,0.16,0.303,0.443
18093,2e3,0.107,0.203,0.226,0.463
18093,2010.0,0.146,0.29,0.15,0.413
18095,1970.0,0.067,0.076,0.486,0.371
18095,1980.0,0.104,0.099,0.355,0.442
18095,1990.0,0.117,0.205,0.265,0.412
18095,2e3,0.144,0.257,0.199,0.4
18095,2010.0,0.171,0.31,0.129,0.39
18097,1970.0,0.114,0.106,0.446,0.333
18097,1980.0,0.163,0.143,0.325,0.368
18097,1990.0,0.214,0.243,0.232,0.311
18097,2e3,0.254,0.266,0.184,0.296
18097,2010.0,0.277,0.282,0.151,0.289
18099,1970.0,0.076,0.076,0.444,0.403
18099,1980.0,0.104,0.11,0.329,0.457
18099,1990.0,0.123,0.193,0.26,0.424
18099,2e3,0.149,0.238,0.202,0.411
18099,2010.0,0.173,0.266,0.149,0.412
18101,1970.0,0.043,0.05,0.583,0.323
18101,1980.0,0.073,0.079,0.417,0.431
18101,1990.0,0.086,0.161,0.356,0.397
18101,2e3,0.088,0.231,0.258,0.423
18101,2010.0,0.118,0.29,0.18,0.412
18103,1970.0,0.05,0.08,0.438,0.431
18103,1980.0,0.078,0.123,0.298,0.501
18103,1990.0,0.097,0.22,0.236,0.447
18103,2e3,0.104,0.253,0.181,0.462
18103,2010.0,0.107,0.31,0.156,0.426
18105,1970.0,0.274,0.114,0.342,0.27
18105,1980.0,0.313,0.137,0.253,0.297
18105,1990.0,0.329,0.213,0.179,0.278
18105,2e3,0.396,0.227,0.115,0.262
18105,2010.0,0.442,0.246,0.078,0.233
18107,1970.0,0.082,0.078,0.379,0.46
18107,1980.0,0.109,0.106,0.283,0.503
18107,1990.0,0.128,0.2,0.2,0.473
18107,2e3,0.147,0.241,0.143,0.469
18107,2010.0,0.168,0.274,0.114,0.445
18109,1970.0,0.056,0.063,0.5,0.381
18109,1980.0,0.095,0.097,0.351,0.457
18109,1990.0,0.1,0.198,0.264,0.438
18109,2e3,0.126,0.231,0.193,0.45
18109,2010.0,0.155,0.306,0.119,0.42
18111,1970.0,0.039,0.08,0.46,0.421
18111,1980.0,0.083,0.103,0.352,0.462
18111,1990.0,0.081,0.177,0.276,0.467
18111,2e3,0.096,0.193,0.213,0.498
18111,2010.0,0.091,0.27,0.142,0.497
18113,1970.0,0.053,0.076,0.468,0.403
18113,1980.0,0.074,0.111,0.366,0.449
18113,1990.0,0.08,0.198,0.279,0.442
18113,2e3,0.111,0.226,0.227,0.437
18113,2010.0,0.142,0.293,0.16,0.405
18115,1970.0,0.038,0.045,0.557,0.359
18115,1980.0,0.079,0.049,0.458,0.414
18115,1990.0,0.06,0.152,0.323,0.465
18115,2e3,0.116,0.221,0.216,0.447
18115,2010.0,0.128,0.236,0.142,0.494
18117,1970.0,0.051,0.047,0.575,0.327
18117,1980.0,0.07,0.071,0.458,0.401
18117,1990.0,0.06,0.155,0.351,0.434
18117,2e3,0.102,0.184,0.262,0.453
18117,2010.0,0.121,0.248,0.18,0.451
18119,1970.0,0.031,0.048,0.566,0.355
18119,1980.0,0.07,0.09,0.427,0.413
18119,1990.0,0.071,0.156,0.337,0.435
18119,2e3,0.092,0.223,0.251,0.434
18119,2010.0,0.107,0.285,0.169,0.439
18121,1970.0,0.061,0.067,0.459,0.412
18121,1980.0,0.081,0.087,0.328,0.504
18121,1990.0,0.101,0.183,0.233,0.483
18121,2e3,0.116,0.233,0.195,0.456
18121,2010.0,0.143,0.286,0.153,0.418
18123,1970.0,0.047,0.051,0.614,0.288
18123,1980.0,0.063,0.075,0.48,0.382
18123,1990.0,0.068,0.156,0.346,0.43
18123,2e3,0.096,0.197,0.252,0.455
18123,2010.0,0.104,0.248,0.155,0.492
18125,1970.0,0.05,0.051,0.579,0.32
18125,1980.0,0.063,0.082,0.434,0.421
18125,1990.0,0.085,0.161,0.345,0.409
18125,2e3,0.084,0.217,0.244,0.455
18125,2010.0,0.12,0.265,0.127,0.489
18127,1970.0,0.108,0.103,0.395,0.394
18127,1980.0,0.147,0.141,0.255,0.457
18127,1990.0,0.185,0.244,0.176,0.395
18127,2e3,0.226,0.277,0.117,0.38
18127,2010.0,0.264,0.305,0.084,0.347
18129,1970.0,0.047,0.072,0.512,0.369
18129,1980.0,0.097,0.113,0.359,0.431
18129,1990.0,0.11,0.21,0.237,0.442
18129,2e3,0.148,0.278,0.156,0.418
18129,2010.0,0.213,0.329,0.073,0.384
18131,1970.0,0.059,0.075,0.5,0.366
18131,1980.0,0.08,0.104,0.368,0.448
18131,1990.0,0.089,0.179,0.281,0.45
18131,2e3,0.103,0.244,0.202,0.451
18131,2010.0,0.12,0.277,0.152,0.451
18133,1970.0,0.089,0.077,0.451,0.382
18133,1980.0,0.121,0.099,0.3,0.481
18133,1990.0,0.113,0.192,0.239,0.455
18133,2e3,0.131,0.199,0.188,0.482
18133,2010.0,0.155,0.295,0.126,0.424
18135,1970.0,0.045,0.064,0.485,0.407
18135,1980.0,0.078,0.086,0.356,0.48
18135,1990.0,0.086,0.165,0.281,0.468
18135,2e3,0.099,0.222,0.204,0.475
18135,2010.0,0.126,0.283,0.152,0.439
18137,1970.0,0.042,0.05,0.563,0.345
18137,1980.0,0.077,0.061,0.435,0.428
18137,1990.0,0.098,0.141,0.312,0.449
18137,2e3,0.115,0.206,0.211,0.468
18137,2010.0,0.168,0.251,0.129,0.452
18139,1970.0,0.048,0.068,0.495,0.39
18139,1980.0,0.075,0.082,0.375,0.468
18139,1990.0,0.087,0.167,0.264,0.481
18139,2e3,0.103,0.184,0.204,0.509
18139,2010.0,0.147,0.219,0.142,0.492
18141,1970.0,0.096,0.086,0.46,0.359
18141,1980.0,0.146,0.129,0.324,0.4
18141,1990.0,0.192,0.224,0.239,0.344
18141,2e3,0.236,0.263,0.176,0.325
18141,2010.0,0.272,0.293,0.116,0.32
18143,1970.0,0.047,0.055,0.614,0.284
18143,1980.0,0.053,0.065,0.514,0.367
18143,1990.0,0.066,0.148,0.4,0.385
18143,2e3,0.088,0.2,0.286,0.425
18143,2010.0,0.132,0.267,0.194,0.407
18145,1970.0,0.056,0.072,0.5,0.372
18145,1980.0,0.085,0.096,0.366,0.453
18145,1990.0,0.099,0.197,0.259,0.445
18145,2e3,0.127,0.224,0.202,0.447
18145,2010.0,0.15,0.282,0.135,0.433
18147,1970.0,0.049,0.058,0.569,0.324
18147,1980.0,0.084,0.095,0.412,0.408
18147,1990.0,0.092,0.187,0.281,0.441
18147,2e3,0.13,0.254,0.188,0.428
18147,2010.0,0.154,0.287,0.126,0.433
18149,1970.0,0.036,0.058,0.578,0.328
18149,1980.0,0.065,0.091,0.474,0.37
18149,1990.0,0.06,0.155,0.401,0.384
18149,2e3,0.084,0.201,0.28,0.434
18149,2010.0,0.112,0.278,0.175,0.434
18151,1970.0,0.088,0.119,0.371,0.422
18151,1980.0,0.097,0.134,0.281,0.487
18151,1990.0,0.125,0.225,0.21,0.44
18151,2e3,0.155,0.258,0.157,0.43
18151,2010.0,0.201,0.306,0.11,0.383
18153,1970.0,0.041,0.066,0.526,0.368
18153,1980.0,0.078,0.091,0.373,0.458
18153,1990.0,0.1,0.183,0.259,0.458
18153,2e3,0.094,0.27,0.192,0.444
18153,2010.0,0.13,0.316,0.144,0.411
18155,1970.0,0.038,0.038,0.655,0.269
18155,1980.0,0.056,0.065,0.49,0.389
18155,1990.0,0.056,0.15,0.342,0.451
18155,2e3,0.076,0.193,0.286,0.444
18155,2010.0,0.087,0.263,0.176,0.474
18157,1970.0,0.206,0.115,0.323,0.356
18157,1980.0,0.255,0.139,0.232,0.374
18157,1990.0,0.307,0.228,0.148,0.317
18157,2e3,0.332,0.241,0.122,0.305
18157,2010.0,0.352,0.279,0.092,0.277
18159,1970.0,0.059,0.077,0.457,0.407
18159,1980.0,0.082,0.096,0.324,0.498
18159,1990.0,0.098,0.215,0.23,0.457
18159,2e3,0.124,0.229,0.163,0.484
18159,2010.0,0.173,0.305,0.121,0.401
18161,1970.0,0.053,0.061,0.494,0.392
18161,1980.0,0.09,0.098,0.378,0.434
18161,1990.0,0.084,0.193,0.287,0.435
18161,2e3,0.111,0.233,0.201,0.456
18161,2010.0,0.193,0.286,0.126,0.396
18163,1970.0,0.09,0.093,0.467,0.35
18163,1980.0,0.125,0.126,0.358,0.391
18163,1990.0,0.16,0.232,0.248,0.36
18163,2e3,0.193,0.281,0.169,0.357
18163,2010.0,0.235,0.319,0.104,0.343
18165,1970.0,0.036,0.056,0.567,0.341
18165,1980.0,0.078,0.084,0.395,0.443
18165,1990.0,0.078,0.199,0.279,0.444
18165,2e3,0.112,0.248,0.188,0.452
18165,2010.0,0.132,0.292,0.113,0.463
18167,1970.0,0.1,0.087,0.482,0.331
18167,1980.0,0.163,0.131,0.317,0.39
18167,1990.0,0.181,0.217,0.24,0.362
18167,2e3,0.214,0.248,0.19,0.348
18167,2010.0,0.216,0.308,0.131,0.345
18169,1970.0,0.069,0.091,0.427,0.413
18169,1980.0,0.118,0.103,0.33,0.448
18169,1990.0,0.117,0.181,0.256,0.446
18169,2e3,0.137,0.22,0.183,0.46
18169,2010.0,0.171,0.27,0.12,0.439
18171,1970.0,0.041,0.06,0.502,0.397
18171,1980.0,0.083,0.093,0.35,0.474
18171,1990.0,0.094,0.16,0.284,0.463
18171,2e3,0.14,0.243,0.15,0.467
18171,2010.0,0.172,0.272,0.137,0.418
18173,1970.0,0.064,0.086,0.46,0.389
18173,1980.0,0.136,0.14,0.287,0.437
18173,1990.0,0.162,0.264,0.199,0.376
18173,2e3,0.218,0.309,0.137,0.336
18173,2010.0,0.268,0.333,0.07,0.329
18175,1970.0,0.038,0.059,0.596,0.306
18175,1980.0,0.06,0.069,0.48,0.391
18175,1990.0,0.068,0.172,0.338,0.421
18175,2e3,0.102,0.208,0.248,0.441
18175,2010.0,0.122,0.234,0.191,0.453
18177,1970.0,0.076,0.078,0.487,0.359
18177,1980.0,0.101,0.114,0.362,0.422
18177,1990.0,0.113,0.204,0.288,0.395
18177,2e3,0.137,0.249,0.219,0.395
18177,2010.0,0.177,0.278,0.158,0.388
18179,1970.0,0.062,0.085,0.428,0.425
18179,1980.0,0.089,0.115,0.31,0.486
18179,1990.0,0.121,0.21,0.21,0.46
18179,2e3,0.143,0.265,0.127,0.465
18179,2010.0,0.166,0.314,0.104,0.416
18181,1970.0,0.05,0.077,0.44,0.433
18181,1980.0,0.085,0.1,0.333,0.481
18181,1990.0,0.107,0.194,0.221,0.477
18181,2e3,0.105,0.24,0.179,0.477
18181,2010.0,0.151,0.305,0.112,0.431
18183,1970.0,0.055,0.075,0.412,0.458
18183,1980.0,0.072,0.117,0.287,0.524
18183,1990.0,0.088,0.251,0.211,0.45
18183,2e3,0.133,0.275,0.138,0.454
18183,2010.0,0.181,0.307,0.089,0.423
19000,1970.0,0.091,0.111,0.41,0.387
19000,1980.0,0.139,0.147,0.285,0.429
19000,1990.0,0.169,0.247,0.199,0.385
19000,2e3,0.212,0.288,0.139,0.361
19000,2010.0,0.264,0.324,0.087,0.325
19001,1970.0,0.067,0.093,0.435,0.405
19001,1980.0,0.088,0.132,0.314,0.466
19001,1990.0,0.098,0.222,0.225,0.454
19001,2e3,0.112,0.282,0.122,0.484
19001,2010.0,0.152,0.335,0.082,0.431
19003,1970.0,0.062,0.1,0.472,0.366
19003,1980.0,0.099,0.144,0.3,0.457
19003,1990.0,0.094,0.229,0.229,0.449
19003,2e3,0.12,0.311,0.155,0.414
19003,2010.0,0.147,0.342,0.095,0.417
19005,1970.0,0.045,0.078,0.506,0.371
19005,1980.0,0.094,0.099,0.375,0.432
19005,1990.0,0.089,0.193,0.241,0.477
19005,2e3,0.144,0.227,0.186,0.443
19005,2010.0,0.159,0.288,0.117,0.436
19007,1970.0,0.053,0.072,0.531,0.344
19007,1980.0,0.091,0.135,0.38,0.394
19007,1990.0,0.115,0.217,0.279,0.39
19007,2e3,0.122,0.281,0.186,0.412
19007,2010.0,0.184,0.328,0.124,0.364
19009,1970.0,0.042,0.061,0.535,0.361
19009,1980.0,0.09,0.118,0.366,0.426
19009,1990.0,0.098,0.192,0.283,0.428
19009,2e3,0.123,0.255,0.175,0.448
19009,2010.0,0.164,0.313,0.089,0.433
19011,1970.0,0.056,0.098,0.44,0.406
19011,1980.0,0.086,0.121,0.318,0.476
19011,1990.0,0.096,0.235,0.218,0.45
19011,2e3,0.139,0.305,0.122,0.434
19011,2010.0,0.2,0.345,0.079,0.375
19013,1970.0,0.101,0.124,0.376,0.4
19013,1980.0,0.154,0.15,0.261,0.434
19013,1990.0,0.173,0.233,0.196,0.397
19013,2e3,0.23,0.284,0.135,0.351
19013,2010.0,0.262,0.301,0.103,0.334
19015,1970.0,0.062,0.115,0.427,0.396
19015,1980.0,0.121,0.145,0.294,0.439
19015,1990.0,0.137,0.263,0.192,0.407
19015,2e3,0.188,0.32,0.11,0.382
19015,2010.0,0.225,0.35,0.061,0.364
19017,1970.0,0.089,0.121,0.424,0.367
19017,1980.0,0.139,0.135,0.286,0.44
19017,1990.0,0.151,0.222,0.215,0.413
19017,2e3,0.215,0.285,0.123,0.376
19017,2010.0,0.282,0.323,0.057,0.338
19019,1970.0,0.062,0.097,0.419,0.422
19019,1980.0,0.093,0.118,0.297,0.492
19019,1990.0,0.112,0.202,0.216,0.471
19019,2e3,0.127,0.283,0.154,0.436
19019,2010.0,0.173,0.318,0.083,0.426
19021,1970.0,0.087,0.131,0.372,0.409
19021,1980.0,0.146,0.166,0.256,0.433
19021,1990.0,0.152,0.266,0.179,0.402
19021,2e3,0.187,0.265,0.187,0.362
19021,2010.0,0.197,0.288,0.211,0.305
19023,1970.0,0.046,0.094,0.508,0.352
19023,1980.0,0.072,0.121,0.37,0.437
19023,1990.0,0.094,0.207,0.282,0.417
19023,2e3,0.124,0.283,0.178,0.414
19023,2010.0,0.155,0.345,0.085,0.415
19025,1970.0,0.073,0.11,0.433,0.384
19025,1980.0,0.096,0.15,0.32,0.433
19025,1990.0,0.116,0.243,0.211,0.43
19025,2e3,0.154,0.319,0.146,0.381
19025,2010.0,0.189,0.354,0.095,0.362
19027,1970.0,0.061,0.09,0.515,0.334
19027,1980.0,0.096,0.117,0.368,0.419
19027,1990.0,0.113,0.22,0.254,0.413
19027,2e3,0.16,0.279,0.163,0.398
19027,2010.0,0.182,0.322,0.084,0.412
19029,1970.0,0.084,0.106,0.408,0.402
19029,1980.0,0.099,0.128,0.294,0.479
19029,1990.0,0.125,0.241,0.193,0.441
19029,2e3,0.166,0.288,0.141,0.404
19029,2010.0,0.2,0.284,0.075,0.441
19031,1970.0,0.068,0.115,0.429,0.388
19031,1980.0,0.106,0.144,0.299,0.451
19031,1990.0,0.128,0.24,0.207,0.426
19031,2e3,0.163,0.296,0.123,0.419
19031,2010.0,0.208,0.337,0.079,0.375
19033,1970.0,0.097,0.14,0.384,0.379
19033,1980.0,0.138,0.184,0.275,0.402
19033,1990.0,0.155,0.309,0.187,0.348
19033,2e3,0.203,0.337,0.127,0.333
19033,2010.0,0.22,0.382,0.07,0.328
19035,1970.0,0.079,0.12,0.378,0.423
19035,1980.0,0.117,0.146,0.258,0.478
19035,1990.0,0.108,0.244,0.187,0.462
19035,2e3,0.152,0.296,0.125,0.427
19035,2010.0,0.205,0.351,0.085,0.359
19037,1970.0,0.041,0.086,0.495,0.378
19037,1980.0,0.085,0.111,0.329,0.475
19037,1990.0,0.099,0.189,0.248,0.465
19037,2e3,0.122,0.26,0.166,0.453
19037,2010.0,0.145,0.308,0.107,0.44
19039,1970.0,0.043,0.077,0.464,0.417
19039,1980.0,0.079,0.12,0.333,0.469
19039,1990.0,0.088,0.215,0.224,0.473
19039,2e3,0.121,0.293,0.156,0.43
19039,2010.0,0.157,0.288,0.123,0.432
19041,1970.0,0.089,0.123,0.347,0.44
19041,1980.0,0.128,0.157,0.245,0.47
19041,1990.0,0.145,0.291,0.152,0.412
19041,2e3,0.163,0.349,0.12,0.368
19041,2010.0,0.185,0.369,0.064,0.381
19043,1970.0,0.04,0.079,0.538,0.343
19043,1980.0,0.088,0.105,0.375,0.433
19043,1990.0,0.09,0.184,0.255,0.472
19043,2e3,0.128,0.242,0.174,0.456
19043,2010.0,0.162,0.306,0.082,0.45
19045,1970.0,0.079,0.103,0.415,0.403
19045,1980.0,0.108,0.146,0.294,0.452
19045,1990.0,0.129,0.243,0.226,0.402
19045,2e3,0.144,0.297,0.144,0.415
19045,2010.0,0.192,0.352,0.094,0.362
19047,1970.0,0.058,0.082,0.484,0.376
19047,1980.0,0.086,0.093,0.353,0.468
19047,1990.0,0.098,0.176,0.275,0.451
19047,2e3,0.124,0.234,0.215,0.428
19047,2010.0,0.143,0.269,0.219,0.369
19049,1970.0,0.069,0.11,0.369,0.451
19049,1980.0,0.133,0.139,0.243,0.485
19049,1990.0,0.163,0.265,0.164,0.408
19049,2e3,0.268,0.301,0.105,0.327
19049,2010.0,0.437,0.288,0.056,0.219
19051,1970.0,0.056,0.096,0.517,0.331
19051,1980.0,0.072,0.118,0.363,0.447
19051,1990.0,0.105,0.205,0.281,0.409
19051,2e3,0.114,0.261,0.211,0.414
19051,2010.0,0.168,0.32,0.137,0.375
19053,1970.0,0.077,0.089,0.494,0.34
19053,1980.0,0.138,0.107,0.356,0.399
19053,1990.0,0.123,0.185,0.282,0.411
19053,2e3,0.151,0.251,0.183,0.415
19053,2010.0,0.192,0.3,0.137,0.371
19055,1970.0,0.055,0.081,0.462,0.402
19055,1980.0,0.081,0.107,0.342,0.47
19055,1990.0,0.11,0.197,0.217,0.475
19055,2e3,0.13,0.248,0.149,0.472
19055,2010.0,0.149,0.311,0.1,0.44
19057,1970.0,0.077,0.111,0.412,0.4
19057,1980.0,0.115,0.146,0.293,0.446
19057,1990.0,0.127,0.262,0.211,0.399
19057,2e3,0.16,0.305,0.142,0.393
19057,2010.0,0.202,0.362,0.093,0.343
19059,1970.0,0.07,0.124,0.392,0.413
19059,1980.0,0.137,0.167,0.251,0.445
19059,1990.0,0.175,0.276,0.159,0.39
19059,2e3,0.213,0.326,0.108,0.353
19059,2010.0,0.252,0.382,0.05,0.316
19061,1970.0,0.101,0.094,0.454,0.35
19061,1980.0,0.15,0.109,0.314,0.427
19061,1990.0,0.168,0.192,0.223,0.417
19061,2e3,0.213,0.237,0.148,0.402
19061,2010.0,0.278,0.283,0.081,0.358
19063,1970.0,0.065,0.133,0.432,0.37
19063,1980.0,0.108,0.19,0.302,0.401
19063,1990.0,0.11,0.276,0.217,0.397
19063,2e3,0.13,0.331,0.178,0.36
19063,2010.0,0.148,0.388,0.116,0.348
19065,1970.0,0.065,0.098,0.445,0.392
19065,1980.0,0.113,0.118,0.322,0.448
19065,1990.0,0.118,0.208,0.234,0.44
19065,2e3,0.138,0.272,0.152,0.437
19065,2010.0,0.184,0.309,0.105,0.401
19067,1970.0,0.072,0.109,0.396,0.423
19067,1980.0,0.115,0.134,0.296,0.455
19067,1990.0,0.122,0.237,0.21,0.431
19067,2e3,0.148,0.303,0.141,0.409
19067,2010.0,0.17,0.347,0.105,0.379
19069,1970.0,0.054,0.126,0.459,0.361
19069,1980.0,0.102,0.164,0.312,0.422
19069,1990.0,0.123,0.281,0.206,0.391
19069,2e3,0.145,0.309,0.16,0.386
19069,2010.0,0.163,0.337,0.143,0.357
