FIPS,bachelorsOrMore,someCollege,lessThanHSD,HSDonly
01001,0.155,0.22999999999999998,-0.41000000000000003,0.02400000000000002
01003,0.22099999999999997,0.242,-0.484,0.020999999999999963
01005,0.06300000000000001,0.22600000000000003,-0.43399999999999994,0.14400000000000002
01007,0.05999999999999999,0.24300000000000002,-0.51,0.20700000000000002
01009,0.096,0.272,-0.486,0.11799999999999997
01011,0.087,0.139,-0.384,0.158
01013,0.09699999999999999,0.209,-0.471,0.164
01015,0.09400000000000001,0.235,-0.38699999999999996,0.059
01017,0.07999999999999999,0.23400000000000004,-0.44900000000000007,0.135
01019,0.099,0.249,-0.493,0.145
01021,0.10500000000000001,0.20199999999999999,-0.507,0.2
01023,0.085,0.21600000000000003,-0.42300000000000004,0.12299999999999997
01025,0.064,0.183,-0.428,0.181
01027,0.043,0.252,-0.41700000000000004,0.122
01029,0.079,0.21600000000000003,-0.484,0.188
01031,0.17400000000000002,0.22699999999999998,-0.42999999999999994,0.02799999999999997
01033,0.118,0.242,-0.3989999999999999,0.039000000000000035
01035,0.042,0.208,-0.472,0.221
01037,0.056999999999999995,0.22600000000000003,-0.45699999999999996,0.17400000000000002
01039,0.09899999999999999,0.262,-0.48300000000000004,0.12100000000000002
01041,0.086,0.20700000000000002,-0.508,0.215
01043,0.11199999999999999,0.28300000000000003,-0.512,0.11600000000000002
01045,0.07900000000000001,0.249,-0.29300000000000004,-0.033999999999999975
01047,0.056999999999999995,0.194,-0.363,0.11299999999999999
01049,0.07600000000000001,0.234,-0.45599999999999996,0.14699999999999996
01051,0.16,0.246,-0.492,0.08599999999999997
01053,0.077,0.21200000000000002,-0.44000000000000006,0.15000000000000002
01055,0.10200000000000001,0.269,-0.413,0.04199999999999998
01057,0.1,0.195,-0.45899999999999996,0.163
01059,0.075,0.23,-0.41800000000000004,0.11299999999999999
01061,0.067,0.24399999999999997,-0.4620000000000001,0.15000000000000002
01063,0.05,0.20700000000000002,-0.483,0.225
01065,0.09000000000000001,0.208,-0.536,0.23899999999999996
01067,0.12000000000000001,0.22100000000000003,-0.497,0.15699999999999997
01069,0.131,0.23099999999999998,-0.4159999999999999,0.05400000000000005
01071,0.095,0.209,-0.46799999999999997,0.164
01073,0.208,0.217,-0.404,-0.020999999999999963
01075,0.08,0.24099999999999996,-0.518,0.198
01077,0.138,0.20299999999999996,-0.4,0.059
01079,0.089,0.23900000000000002,-0.494,0.166
01081,0.166,0.18799999999999997,-0.39,0.035
01083,0.169,0.21499999999999997,-0.45,0.066
01085,0.082,0.20700000000000002,-0.46299999999999997,0.17300000000000001
01087,0.047000000000000014,0.23099999999999998,-0.423,0.146
01089,0.198,0.16699999999999998,-0.271,-0.095
01091,0.096,0.20400000000000001,-0.499,0.19999999999999998
01093,0.076,0.264,-0.46499999999999997,0.12600000000000003
01095,0.10900000000000001,0.22499999999999998,-0.43000000000000005,0.096
01097,0.139,0.22699999999999998,-0.42299999999999993,0.055999999999999994
01099,0.068,0.201,-0.4590000000000001,0.19099999999999998
01101,0.186,0.15900000000000003,-0.30700000000000005,-0.03899999999999998
01103,0.115,0.21799999999999997,-0.35900000000000004,0.026000000000000023
01105,0.020000000000000004,0.16899999999999998,-0.408,0.219
01107,0.05,0.21600000000000003,-0.4700000000000001,0.204
01109,0.16499999999999998,0.15500000000000003,-0.426,0.10600000000000001
01111,0.087,0.206,-0.46199999999999997,0.169
01113,0.125,0.29800000000000004,-0.542,0.11900000000000002
01115,0.124,0.27,-0.512,0.12
01117,0.34400000000000003,0.239,-0.552,-0.031
01119,0.076,0.14300000000000002,-0.44600000000000006,0.22800000000000004
01121,0.07400000000000001,0.237,-0.43900000000000006,0.129
01123,0.132,0.22100000000000003,-0.47200000000000003,0.12
01125,0.16800000000000004,0.19799999999999998,-0.42200000000000004,0.056999999999999995
01127,0.067,0.258,-0.46799999999999997,0.142
01129,0.067,0.203,-0.5249999999999999,0.256
01131,0.052000000000000005,0.20400000000000001,-0.482,0.22599999999999998
01133,0.078,0.247,-0.42899999999999994,0.10400000000000001
02000,0.13600000000000004,0.217,-0.251,-0.10199999999999998
02010,0.027999999999999997,0.08299999999999999,-0.168,0.05499999999999999
02013,-0.0030000000000000027,0.04400000000000001,-0.13100000000000003,0.09000000000000002
02016,0.006000000000000005,-0.05299999999999999,0.0030000000000000027,0.043999999999999984
02020,0.17,0.188,-0.16599999999999998,-0.19399999999999998
02050,0.035,0.23900000000000002,-0.6080000000000001,0.33499999999999996
02060,0.07100000000000001,0.28200000000000003,-0.204,-0.14900000000000002
02068,0.06799999999999998,-0.03300000000000003,0.007999999999999993,-0.04299999999999998
02070,0.07900000000000001,0.242,-0.5389999999999999,0.21799999999999997
02090,0.13799999999999998,0.222,-0.184,-0.177
02100,0.179,0.23,-0.48800000000000004,0.07900000000000001
02105,0.0,0.0,0.0,0.0
02110,0.159,0.179,-0.17500000000000002,-0.163
02122,0.128,0.23,-0.284,-0.07400000000000001
02130,0.101,0.21399999999999997,-0.284,-0.030999999999999972
02150,0.105,0.308,-0.30400000000000005,-0.10999999999999999
02160,0.0,0.0,0.0,0.0
02164,-0.0069999999999999785,0.187,-0.24400000000000002,0.063
02170,0.133,0.267,-0.317,-0.08400000000000002
02180,0.05199999999999999,0.197,-0.5419999999999999,0.292
02185,0.069,0.34600000000000003,-0.68,0.264
02188,0.056999999999999995,0.202,-0.55,0.29
02195,0.0,0.0,0.0,0.0
02198,0.0,0.0,0.0,0.0
02201,0.06499999999999999,0.183,-0.30700000000000005,0.057999999999999996
02220,0.18800000000000003,0.229,-0.28099999999999997,-0.13399999999999998
