STATEFIPS,COUNTY,TOT_POP,NHWA
1,1,40372,0.7661745764391162
1,3,154649,0.8519486061985528
1,5,20379,0.49482310221306247
1,7,17438,0.7395916962954467
1,9,43050,0.900418118466899
1,11,8254,0.24339714078022776
1,13,14962,0.5564764068974736
1,15,87046,0.7531649932219746
1,17,26147,0.5868359658851876
1,19,20156,0.925878150426672
1,21,32326,0.8301676668935223
1,23,10198,0.5735438321239459
1,25,18627,0.5537123530359156
1,27,10370,0.8152362584378013
1,29,11253,0.9361947924997779
1,31,37937,0.7322666526082716
1,33,41484,0.8032494455693762
1,35,9656,0.5368682684341343
1,37,8579,0.6707075416715235
1,39,28698,0.8477594257439542
1,41,10485,0.7205531711969481
1,43,61872,0.9373707008016551
1,45,36860,0.72316874660879
1,47,29782,0.3139480222953462
1,49,52035,0.8521572018833478
1,51,61091,0.7515509649539212
1,53,28640,0.6228002793296089
1,55,78192,0.8049288929813792
1,57,12776,0.8580932999373826
1,59,23202,0.8163520386173606
1,61,20307,0.8565026838036145
1,63,6344,0.1948297604035309
1,65,11183,0.4229634266297058
1,67,13245,0.7014722536806342
1,69,77449,0.7042182597580343
1,71,40089,0.9046371822694504
1,73,492125,0.5329276098552197
1,75,10635,0.869581570286789
1,77,71079,0.8655017656410473
1,79,25288,0.7808051249604555
1,81,115629,0.6924387480649318
1,83,68479,0.7892638619138714
1,85,7844,0.26848546659867417
1,87,14497,0.17300131061598953
1,89,264774,0.6782690143292015
1,91,14917,0.47227994905141785
1,93,23213,0.9259035885064404
1,95,69480,0.8640616004605642
1,97,306007,0.6034829268611502
1,99,16177,0.5666069110465476
1,101,166196,0.3910924450648632
1,103,89526,0.7957353171145812
1,105,6990,0.3190271816881259
1,107,16225,0.5599383667180278
1,109,24867,0.5901395423653838
1,111,17131,0.7756114645963458
1,113,43082,0.5050136948145397
1,115,65500,0.8678778625954199
1,117,153366,0.805478398080409
1,119,9928,0.2611804995970991
1,121,61374,0.6532733730895819
1,123,31388,0.7166114438638971
1,125,151034,0.6524160122886238
1,127,49497,0.9084186920419419
1,129,12621,0.6671420648126138
1,131,8018,0.304938887503118
1,133,18424,0.9525618758141554
2,13,2977,0.11588847833389318
2,16,4960,0.26129032258064516
2,20,217467,0.6401844877613615
2,50,10941,0.1380129787039576
2,60,705,0.4851063829787234
2,68,1531,0.8308295231874592
2,70,3276,0.2148962148962149
2,90,72866,0.7356380204759422
2,100,1994,0.7958876629889668
2,105,1667,0.5062987402519497
2,110,24700,0.6938461538461539
2,122,43377,0.8361343569172603
2,130,10334,0.6915037739500678
2,150,9859,0.5373770159245359
2,158,4481,0.0586922561928141
2,164,1069,0.28344246959775493
2,170,71156,0.8283068188206195
2,180,6102,0.20698131760078664
2,185,6962,0.4130996839988509
2,188,4772,0.1550712489522213
2,195,2395,0.7519832985386221
2,198,4644,0.5055986218776917
2,220,6691,0.6635779405171125
2,230,907,0.8798235942668137
2,240,4959,0.7777777777777778
2,261,6890,0.7393323657474601
2,275,1844,0.7391540130151844
2,282,474,0.3881856540084388
2,290,3862,0.2532366649404454
4,1,48824,0.20991725380960183
4,3,95158,0.6097543033691334
4,5,100901,0.591024865957721
4,7,41319,0.686754277693071
4,9,25968,0.5335797905113987
4,11,6548,0.5042761148442273
4,12,16357,0.6553157669499297
4,13,3027443,0.6208027698622237
4,15,163456,0.8089944694596711
4,17,75535,0.46252730522274443
4,19,760571,0.5853799316566106
4,21,300529,0.6244322511305065
4,23,32146,0.19538978410999813
4,25,179616,0.8447966773561375
4,27,145671,0.3867550850890019
5,1,13803,0.7310729551546765
5,3,15507,0.7031663119881344
5,5,33064,0.9577788531333172
5,7,177036,0.7803836507828916
5,9,28140,0.9481520966595594
5,11,8276,0.5932817786370227
5,13,4140,0.7408212560386473
5,15,20971,0.8491249821181632
5,17,8278,0.4301763711041314
5,19,16707,0.7169449931166577
5,21,11613,0.9640919659002841
5,23,20015,0.955733200099925
5,25,6270,0.8649122807017544
5,27,17583,0.6162202127054541
5,29,15778,0.8292559259728737
5,31,75021,0.8174511136881674
5,33,44980,0.8755002223210315
5,35,34188,0.4780917280917281
5,37,12746,0.7531774674407657
5,39,5779,0.5616888735075273
5,41,8641,0.497743316745747
5,43,13816,0.6914447017950203
5,45,88669,0.82822632487115
5,47,13131,0.9354199984768867
5,49,9460,0.9654334038054968
5,51,75071,0.8570020380706265
5,53,13490,0.9346182357301704
5,55,32263,0.9531041750612156
5,57,15809,0.6042760452906573
5,59,25597,0.8438098214634527
5,61,9572,0.694003343083995
5,63,27195,0.9118220261077404
5,65,10741,0.9407876361605064
5,67,13507,0.7889982971792404
5,69,53029,0.43981594976333704
5,71,18897,0.8443139122612054
5,73,5472,0.6228070175438597
5,75,12544,0.9614955357142857
5,77,7594,0.4392941796154859
5,79,11071,0.640321560834613
5,81,9439,0.7520923826676554
5,83,16421,0.9276536142744047
5,85,51316,0.8802907475251384
5,87,11712,0.9236680327868853
5,89,13118,0.9525080042689434
5,91,32347,0.7205923269545862
5,93,31021,0.6286709003578221
5,95,5645,0.5881310894596988
5,97,7060,0.9320113314447592
5,99,6489,0.6558791801510249
5,101,6195,0.9457627118644067
5,103,18352,0.5839145597210114
5,105,7710,0.9346303501945525
5,107,13803,0.39418966891255525
5,109,8172,0.8921928536465982
5,111,17833,0.8943531654797285
5,113,15027,0.9038397551074732
5,115,46066,0.869535014978509
5,117,6438,0.8647095371233302
5,119,291630,0.5792339608407914
5,121,13240,0.9577039274924471
5,123,19970,0.4367551326990486
5,125,87216,0.8834044212071179
