FIPS,uninsured_rate_2013,uninsured_rate_2016,change
06027,0.18,0.1,-0.08
06029,0.22,0.09,-0.13
06031,0.23,0.08,-0.15
06033,0.22,0.09,-0.14
06035,0.15,0.06,-0.09
06037,0.21,0.07,-0.14
06039,0.22,0.1,-0.12
06041,0.09,0.03,-0.06
06043,0.18,0.05,-0.13
06045,0.21,0.09,-0.12
06047,0.24,0.08,-0.16
06049,0.19,0.09,-0.1
06051,0.15,0.07,-0.08
06053,0.21,0.09,-0.12
06055,0.14,0.05,-0.09
06057,0.15,0.04,-0.11
06059,0.15,0.05,-0.1
06061,0.1,0.03,-0.07
06063,0.18,0.06,-0.12
06065,0.2,0.07,-0.13
06067,0.17,0.06,-0.12
06069,0.19,0.06,-0.13
06071,0.22,0.07,-0.15
06073,0.17,0.05,-0.12
06075,0.12,0.05,-0.07
06077,0.2,0.07,-0.13
06079,0.15,0.05,-0.1
06081,0.11,0.04,-0.07
06083,0.18,0.08,-0.1
06085,0.12,0.04,-0.08
06087,0.15,0.05,-0.1
06089,0.19,0.07,-0.12
06091,0.17,0.06,-0.11
06093,0.2,0.08,-0.12
06095,0.14,0.04,-0.1
06097,0.14,0.05,-0.09
06099,0.21,0.07,-0.14
06101,0.2,0.08,-0.12
06103,0.22,0.08,-0.14
06105,0.21,0.06,-0.15
06107,0.24,0.1,-0.14
06109,0.18,0.06,-0.12
06111,0.15,0.05,-0.1
06113,0.16,0.05,-0.11
06115,0.22,0.07,-0.15
08001,0.19,0.09,-0.1
08003,0.26,0.1,-0.16
08005,0.15,0.06,-0.09
08007,0.19,0.08,-0.11
08009,0.21,0.09,-0.12
08011,0.25,0.1,-0.15
08013,0.14,0.04,-0.1
08014,0.1,0.03,-0.07
08015,0.18,0.07,-0.11
08017,0.15,0.08,-0.07
08019,0.11,0.04,-0.07
08021,0.26,0.08,-0.18
08023,0.25,0.11,-0.14
08025,0.23,0.1,-0.14
08027,0.16,0.08,-0.08
08029,0.22,0.09,-0.13
08031,0.19,0.08,-0.11
08033,0.21,0.09,-0.12
08035,0.07,0.02,-0.05
08037,0.16,0.06,-0.1
08039,0.1,0.04,-0.06
08041,0.15,0.06,-0.09
08043,0.19,0.08,-0.11
08045,0.19,0.1,-0.09
08047,0.13,0.04,-0.09
08049,0.15,0.05,-0.1
08051,0.2,0.08,-0.12
08053,0.1,0.06,-0.05
08055,0.23,0.1,-0.13
08057,0.17,0.08,-0.09
08059,0.13,0.04,-0.09
08061,0.15,0.1,-0.05
08063,0.19,0.11,-0.08
08065,0.23,0.11,-0.12
08067,0.19,0.07,-0.12
08069,0.15,0.05,-0.1
08071,0.25,0.1,-0.15
08073,0.19,0.08,-0.11
08075,0.2,0.09,-0.11
08077,0.18,0.07,-0.11
08079,0.14,0.07,-0.07
08081,0.18,0.08,-0.1
08083,0.23,0.12,-0.11
08085,0.2,0.09,-0.11
08087,0.22,0.11,-0.11
08089,0.27,0.1,-0.17
08091,0.15,0.06,-0.1
08093,0.14,0.05,-0.09
08095,0.19,0.09,-0.1
08097,0.15,0.05,-0.1
08099,0.23,0.11,-0.12
08101,0.21,0.08,-0.13
08103,0.17,0.08,-0.09
08105,0.25,0.11,-0.14
08107,0.15,0.04,-0.11
08109,0.26,0.13,-0.13
08111,0.23,0.08,-0.15
08113,0.19,0.09,-0.1
08115,0.19,0.1,-0.09
08117,0.17,0.05,-0.12
08119,0.13,0.04,-0.09
08121,0.19,0.07,-0.12
08123,0.16,0.08,-0.08
08125,0.2,0.12,-0.08
09001,0.1,0.04,-0.06
09003,0.11,0.05,-0.06
09005,0.08,0.03,-0.05
09007,0.07,0.03,-0.04
09009,0.11,0.05,-0.06
09011,0.1,0.05,-0.06
09013,0.07,0.03,-0.04
09015,0.12,0.05,-0.07
10001,0.14,0.07,-0.08
10003,0.12,0.05,-0.07
10005,0.16,0.07,-0.09
11001,0.08,0.06,-0.02
12001,0.2,0.11,-0.09
12003,0.2,0.1,-0.1
12005,0.21,0.13,-0.08
12007,0.23,0.15,-0.08
12009,0.18,0.1,-0.08
12011,0.22,0.13,-0.09
12013,0.24,0.17,-0.07
12015,0.2,0.11,-0.09
12017,0.23,0.13,-0.1
12019,0.15,0.09,-0.06
12021,0.21,0.14,-0.07
12023,0.26,0.15,-0.11
12027,0.26,0.23,-0.03
12029,0.21,0.14,-0.07
12031,0.19,0.12,-0.07
12033,0.21,0.13,-0.08
12035,0.21,0.12,-0.09
12037,0.23,0.14,-0.09
12039,0.24,0.17,-0.08
12041,0.23,0.16,-0.07
12043,0.27,0.23,-0.04
12045,0.21,0.14,-0.07
12047,0.26,0.17,-0.09
12049,0.29,0.26,-0.03
12051,0.31,0.29,-0.02
12053,0.23,0.13,-0.1
12055,0.26,0.19,-0.07
12057,0.2,0.12,-0.08
12059,0.24,0.17,-0.07
12061,0.21,0.13,-0.08
12063,0.23,0.15,-0.08
12065,0.23,0.15,-0.08
12067,0.21,0.13,-0.08
12069,0.19,0.11,-0.08
12071,0.21,0.14,-0.07
12073,0.19,0.11,-0.09
12075,0.27,0.18,-0.09
12077,0.25,0.14,-0.11
12079,0.26,0.18,-0.08
12081,0.19,0.12,-0.07
12083,0.24,0.15,-0.09
12085,0.18,0.1,-0.08
12086,0.28,0.21,-0.07
12087,0.23,0.15,-0.09
12089,0.16,0.09,-0.07
12091,0.18,0.1,-0.08
12093,0.25,0.21,-0.04
12095,0.23,0.13,-0.1
12097,0.26,0.16,-0.1
12099,0.2,0.12,-0.08
12101,0.2,0.1,-0.1
12103,0.2,0.11,-0.09
12105,0.21,0.14,-0.07
12107,0.24,0.17,-0.07
12109,0.13,0.06,-0.07
12111,0.24,0.15,-0.09
12113,0.17,0.1,-0.07
12115,0.19,0.1,-0.09
12117,0.17,0.09,-0.08
12119,0.19,0.1,-0.09
12121,0.25,0.16,-0.09
12123,0.25,0.16,-0.09
12125,0.22,0.12,-0.1
12127,0.22,0.11,-0.11
12129,0.2,0.08,-0.12
12131,0.21,0.12,-0.1
12133,0.23,0.15,-0.08
13001,0.23,0.18,-0.05
13003,0.31,0.2,-0.11
13005,0.26,0.18,-0.08
13007,0.27,0.12,-0.15
13009,0.23,0.11,-0.12
13011,0.19,0.14,-0.05
13013,0.18,0.09,-0.09
13015,0.18,0.11,-0.07
13017,0.27,0.2,-0.08
13019,0.27,0.15,-0.12
13021,0.22,0.13,-0.09
13023,0.23,0.11,-0.13
13025,0.24,0.14,-0.1
13027,0.26,0.15,-0.11
13029,0.15,0.06,-0.09
13031,0.26,0.13,-0.13
13033,0.26,0.15,-0.11
13035,0.21,0.12,-0.1
13037,0.27,0.15,-0.12
13039,0.19,0.09,-0.1
13043,0.28,0.17,-0.12
13045,0.2,0.13,-0.08
13047,0.18,0.08,-0.1
13049,0.26,0.15,-0.11
13051,0.22,0.11,-0.11
13053,0.26,0.09,-0.17
13055,0.23,0.14,-0.09
13057,0.12,0.06,-0.06
13059,0.24,0.11,-0.13
13061,0.32,0.15,-0.17
13063,0.28,0.15,-0.13
13065,0.25,0.16,-0.09
13067,0.16,0.08,-0.08
13069,0.26,0.15,-0.11
13071,0.26,0.21,-0.05
13073,0.13,0.05,-0.08
13075,0.27,0.16,-0.11
13077,0.14,0.07,-0.07
13079,0.22,0.1,-0.12
13081,0.26,0.18,-0.08
13083,0.2,0.09,-0.11
13085,0.15,0.09,-0.06
13087,0.26,0.15,-0.11
13089,0.22,0.1,-0.12
13091,0.24,0.13,-0.11
13093,0.25,0.15,-0.1
13095,0.27,0.17,-0.1
13097,0.18,0.1,-0.08
13099,0.28,0.16,-0.12
13101,0.25,0.19,-0.06
13103,0.16,0.08,-0.08
13105,0.25,0.15,-0.1
13107,0.27,0.17,-0.1
13109,0.26,0.18,-0.08
13111,0.22,0.12,-0.11
13113,0.11,0.05,-0.07
13115,0.23,0.15,-0.08
13117,0.1,0.05,-0.06
13119,0.21,0.14,-0.07
13121,0.19,0.09,-0.1
13123,0.22,0.15,-0.07
13125,0.21,0.11,-0.11
13127,0.19,0.11,-0.08
13129,0.21,0.12,-0.09
13131,0.26,0.19,-0.08
13133,0.22,0.13,-0.09
13135,0.18,0.08,-0.1
13137,0.2,0.13,-0.07
13139,0.18,0.13,-0.05
13141,0.27,0.15,-0.12
13143,0.2,0.13,-0.08
13145,0.13,0.06,-0.07
13147,0.22,0.14,-0.08
13149,0.21,0.14,-0.07
13151,0.15,0.07,-0.08
13153,0.18,0.09,-0.09
13155,0.25,0.14,-0.11
13157,0.17,0.08,-0.09
13159,0.2,0.1,-0.1
13161,0.25,0.16,-0.09
13163,0.28,0.16,-0.12
13165,0.29,0.21,-0.09
13167,0.23,0.11,-0.12
13169,0.16,0.08,-0.08
13171,0.24,0.13,-0.11
13173,0.24,0.13,-0.11
13175,0.21,0.14,-0.07
13177,0.14,0.07,-0.07
13179,0.24,0.12,-0.12
13181,0.23,0.13,-0.1
13183,0.24,0.13,-0.11
13185,0.25,0.14,-0.11
13187,0.21,0.11,-0.1
13189,0.21,0.15,-0.06
13191,0.22,0.11,-0.11
13193,0.28,0.17,-0.11
13195,0.18,0.12,-0.06
13197,0.24,0.14,-0.1
13199,0.24,0.13,-0.11
13201,0.25,0.13,-0.12
13205,0.27,0.17,-0.1
13207,0.17,0.09,-0.08
13209,0.23,0.13,-0.1
13211,0.18,0.11,-0.08
13213,0.23,0.13,-0.1
13215,0.22,0.13,-0.09
13217,0.2,0.1,-0.1
13219,0.11,0.05,-0.06
13221,0.2,0.1,-0.1
13223,0.15,0.06,-0.09
13225,0.23,0.16,-0.07
13227,0.16,0.09,-0.07
13229,0.24,0.16,-0.08
13231,0.16,0.08,-0.08
13233,0.25,0.18,-0.07
13235,0.23,0.14,-0.09
13237,0.21,0.12,-0.09
13239,0.27,0.17,-0.1
13241,0.21,0.14,-0.08
13243,0.3,0.16,-0.15
13245,0.24,0.13,-0.11
13247,0.2,0.11,-0.09
13249,0.19,0.09,-0.1
13251,0.28,0.16,-0.12
13253,0.25,0.15,-0.1
13255,0.21,0.15,-0.06
13257,0.24,0.12,-0.12
13259,0.24,0.14,-0.1
